Designator,Mid X,Mid Y,Rotation,Layer
C1,136.882198,-119.914133,180.0,top
C10,108.2775,-69.675,180.0,top
C11,115.421196,-62.677401,180.0,top
C12,114.696333,-66.663151,90.0,top
C13,116.71597,-65.366724,270.0,top
C14,104.24,-67.488689,180.0,top
C15,120.886016,-145.626685,270.0,top
C16,122.858744,-145.63417,270.0,top
C17,65.079226,-50.5,270.0,top
C18,63.068854,-50.48114,270.0,top
C2,126.270499,-123.917414,180.0,top
C3,125.734405,-112.467469,180.0,top
C4,130.863149,-132.096061,90.0,top
C5,124.734806,-132.107023,90.0,top
C6,122.748006,-132.117808,90.0,top
C7,99.866614,-61.313689,180.0,top
C8,99.863929,-59.354519,180.0,top
C9,111.7775,-69.675,0.0,top
D1,126.275083,-119.967897,0.0,top
D2,126.258805,-121.908169,0.0,top
J1,139.79,-126.29,90.0,top
J2,137.029086,-115.458485,270.0,top
J4,118.69,-79.5,0.0,top
J5,132.69,-143.9,90.0,top
LS1,97.488003,-56.313689,0.0,top
Q1,129.883812,-115.068468,180.0,top
R1,132.315266,-119.222294,270.0,top
R10,115.693763,-59.084321,90.0,top
R11,122.899388,-137.253421,90.0,top
R12,120.99583,-137.257262,90.0,top
R13,119.08292,-137.248741,90.0,top
R16,140.00446,-83.979177,90.0,top
R17,139.996336,-101.47574,90.0,top
R2,134.231979,-119.235996,270.0,top
R3,129.695846,-123.882039,180.0,top
R4,129.668961,-119.971999,180.0,top
R5,129.657639,-121.894583,180.0,top
R6,123.064921,-117.225998,270.0,top
R7,123.038628,-113.762558,90.0,top
R8,104.266732,-65.488689,180.0,top
R9,103.871804,-61.76717,180.0,top
SW1,109.94,-162.9,0.0,top
SW10,85.61,-138.23,0.0,top
SW2,85.61,-117.73,0.0,top
SW3,65.15,-138.23,0.0,top
SW4,85.61,-158.81,0.0,top
SW5,106.0,-138.23,0.0,top
SW6,65.11,-117.73,0.0,top
SW7,130.92,-64.41,0.0,top
SW8,131.25,-84.0,0.0,top
SW9,131.25,-101.5,0.0,top
U1,75.94,-54.94,0.0,top
U2,127.99,-127.658485,90.0,top
U3,126.068615,-115.175058,0.0,top
U4,127.826026,-132.100436,0.0,top
U5,109.8275,-65.175,90.0,top
U6,99.913003,-64.418688,180.0,top
